word,assigned_domain,similarity_score
black,appearance_style,0.8822112
color,appearance_style,0.8669199
colored,appearance_style,0.8409707
grey,appearance_style,0.84074366
white,appearance_style,0.83962786
gray,appearance_style,0.8291036
old,age_era,0.82762516
blue,appearance_style,0.82640743
grey-black,appearance_style,0.79777515
red,appearance_style,0.79707783
70s,age_era,0.79418355
older,age_era,0.78986084
80s,age_era,0.78830874
colors,appearance_style,0.7837434
blue-grey,appearance_style,0.77392316
gray-colored,appearance_style,0.7671905
colorful,appearance_style,0.7663648
purple,appearance_style,0.7492683
60-70s,age_era,0.7473181
vintage,age_era,0.74400604
90s,age_era,0.7436683
grayish,appearance_style,0.7434627
newer,age_era,0.7419647
eighties,age_era,0.7403729
70-80s,age_era,0.738081
parking,context_environment,0.7374454
powerful,condition_functionality,0.73632324
green,appearance_style,0.73434854
parked,context_environment,0.73089767
60s,age_era,0.7301212
dated,age_era,0.726709
1970s,age_era,0.72275615
yellow,appearance_style,0.7181681
strong,condition_functionality,0.7161716
blackish-blue,appearance_style,0.7155971
dark,appearance_style,0.7141169
road,context_environment,0.712975
seventies,age_era,0.7067704
fast,condition_functionality,0.7067463
attractive,evaluation,0.7008412
outdoor,context_environment,0.6979424
good,evaluation,0.6973298
park,context_environment,0.69645286
outside,context_environment,0.6962449
mid-90s,age_era,0.696071
darker,appearance_style,0.6954185
orange,appearance_style,0.69417167
blueish,appearance_style,0.6941089
nice,evaluation,0.693303
bluish-gray,appearance_style,0.6911483
outdoors,context_environment,0.68687356
orange-red,appearance_style,0.68518436
outdated,age_era,0.6844572
sixties,age_era,0.68358904
driveway,context_environment,0.68348885
street,context_environment,0.6815398
1980s,age_era,0.67437017
garage,context_environment,0.67196274
pretty,evaluation,0.6712078
off-white,appearance_style,0.671039
age,age_era,0.67100656
old-looking,age_era,0.67002076
grass,context_environment,0.6698746
pinkish,appearance_style,0.66883063
painted,appearance_style,0.6650282
driveways,context_environment,0.6643287
decade,age_era,0.6639457
1970,age_era,0.6636346
black-ish,appearance_style,0.6634724
reddish-brown,appearance_style,0.66322345
ugly,evaluation,0.66297376
location,context_environment,0.66191614
brown,appearance_style,0.6617325
ago,age_era,0.65610933
clean,condition_functionality,0.6544908
roads,context_environment,0.6541151
cream-colored,appearance_style,0.65355456
parks,context_environment,0.6530678
yellow-orange,appearance_style,0.6530129
building,context_environment,0.6527307
pavement,context_environment,0.64795756
1960s,age_era,0.64700544
outdoorsy,context_environment,0.64520514
place,context_environment,0.64508504
slow,condition_functionality,0.6448518
nearby,context_environment,0.64427537
lawn,context_environment,0.64348495
hard,condition_functionality,0.6423651
urban,context_environment,0.64229405
heavy,condition_functionality,0.6422013
excellent,evaluation,0.64193547
buildings,context_environment,0.6394998
beautiful,evaluation,0.638518
sidewalk,context_environment,0.6379395
years,age_era,0.6375308
younger,age_era,0.6360578
speed,condition_functionality,0.6339983
beauty,evaluation,0.6338674
great,evaluation,0.63253
roof,context_environment,0.63216364
houses,context_environment,0.6315021
garden,context_environment,0.6312678
faster,condition_functionality,0.63119787
cars,context_environment,0.6303553
power,condition_functionality,0.62833333
amazing,evaluation,0.62802017
light,appearance_style,0.6273854
greenish,appearance_style,0.62733424
decades,age_era,0.62724084
past,age_era,0.6258482
creepy,evaluation,0.62569296
tough,condition_functionality,0.6241589
surrounding,context_environment,0.62300426
bad,evaluation,0.6220762
paved,context_environment,0.62159467
land,context_environment,0.6206456
scenery,context_environment,0.62027156
easy,condition_functionality,0.62021667
wonderful,evaluation,0.61992794
hot,evaluation,0.6197592
2000s,age_era,0.61961246
yard,context_environment,0.61898816
car,context_environment,0.6184222
why,evaluation,0.6181811
loud,condition_functionality,0.6172786
very,evaluation,0.6158181
places,context_environment,0.6148524
waterfront,context_environment,0.6146742
silver,appearance_style,0.6145977
cute,evaluation,0.6141984
weird,evaluation,0.61376
housing,context_environment,0.613631
greyish,appearance_style,0.61223406
extremely,condition_functionality,0.61155975
difficult,condition_functionality,0.61012924
area,context_environment,0.6099303
harder,condition_functionality,0.60978264
city,context_environment,0.6096664
recent,age_era,0.60937387
worn,appearance_style,0.60903174
beige,appearance_style,0.6069481
strange,evaluation,0.60628176
rugged,condition_functionality,0.6062587
funky,evaluation,0.60502744
slowly,condition_functionality,0.6042414
concrete,context_environment,0.60353476
unusual,evaluation,0.6029958
1990s,age_era,0.6025839
dirt,context_environment,0.6024755
product,condition_functionality,0.6014124
muscle,condition_functionality,0.6012302
fantastic,evaluation,0.6006098
twenties,age_era,0.60038006
sturdy,condition_functionality,0.60022366
trees,context_environment,0.6001619
turquoise,appearance_style,0.59909034
burgundy,appearance_style,0.59832203
looks,evaluation,0.5979732
medium,appearance_style,0.59795415
apartment,context_environment,0.5975163
2004,age_era,0.5971807
odd,evaluation,0.5965239
likes,evaluation,0.5965041
thick,condition_functionality,0.5960156
modern,age_era,0.5959776
walls,context_environment,0.5957558
house,context_environment,0.5955122
forests,context_environment,0.595149
old-persons,age_era,0.59483963
tree,context_environment,0.5941858
town,context_environment,0.59347767
safe,condition_functionality,0.59333885
terrain,context_environment,0.59276384
vehicles,context_environment,0.5927032
pleasing,evaluation,0.5927
fastest,condition_functionality,0.5925958
rocks,context_environment,0.5925931
coloring,appearance_style,0.59239894
greyblue,appearance_style,0.59239686
indoors,context_environment,0.5915154
forest,context_environment,0.59039176
wall,context_environment,0.58899546
muscular,condition_functionality,0.5885476
young,age_era,0.5880216
quiet,condition_functionality,0.58777833
horrible,evaluation,0.58762836
floor,context_environment,0.58715546
areas,context_environment,0.58707714
damage,condition_functionality,0.58673847
home,context_environment,0.5866179
cleaned,condition_functionality,0.5860712
60,age_era,0.585943
beat,condition_functionality,0.5855246
race,appearance_style,0.5852141
2010,age_era,0.585009
strangely,evaluation,0.5844542
messed,evaluation,0.58431643
grayblue,appearance_style,0.5842274
1950s,age_era,0.583924
vehicle,context_environment,0.58256865
changed,age_era,0.5817325
20s,age_era,0.5814403
unique,evaluation,0.58142936
ground,context_environment,0.5813211
character,condition_functionality,0.5810417
scenic,context_environment,0.5800615
pleasant,evaluation,0.57995784
what,evaluation,0.5795926
circa,age_era,0.5794032
engine,condition_functionality,0.5792253
fifties,age_era,0.5788739
bright,appearance_style,0.5782858
kind,evaluation,0.57782596
unusually,evaluation,0.57780945
job,condition_functionality,0.57720524
wooded,context_environment,0.57705986
corner,context_environment,0.57673997
friendly,evaluation,0.5766021
grassy,context_environment,0.57633644
apartments,context_environment,0.5762985
something,appearance_style,0.5760021
doors,context_environment,0.5758369
raceish,appearance_style,0.57583106
body,condition_functionality,0.5755875
utility,condition_functionality,0.5752945
neighborhood,context_environment,0.57494926
style,evaluation,0.5744153
18,age_era,0.57410824
lime,appearance_style,0.573905
is,condition_functionality,0.57356596
neat,evaluation,0.5725633
environment,context_environment,0.57225084
small,appearance_style,0.5720118
nicely,evaluation,0.5717913
shade,appearance_style,0.57152903
version,age_era,0.57113993
background,context_environment,0.57064533
era,age_era,0.5704136
14,age_era,0.56952816
appealing,evaluation,0.56939024
different,evaluation,0.5693791
easily,condition_functionality,0.568774
confusing,evaluation,0.56871104
speeds,condition_functionality,0.5683824
beach,context_environment,0.5682378
2010ish,age_era,0.5681577
louder,condition_functionality,0.5676496
gravel,context_environment,0.56646764
40,age_era,0.56630695
higher,condition_functionality,0.5659548
subtle,evaluation,0.56556416
appearance,evaluation,0.5654502
odd-looking,evaluation,0.5651854
denim,appearance_style,0.564288
built,context_environment,0.56409013
spot,context_environment,0.5640655
confused,evaluation,0.5628747
back,condition_functionality,0.56249577
big,condition_functionality,0.5621835
truck,context_environment,0.56159407
fancy,evaluation,0.5610889
certain,evaluation,0.56092983
terrible,evaluation,0.56088006
latest,age_era,0.5606849
peculiar,evaluation,0.56066823
metallic,appearance_style,0.56050706
curious,evaluation,0.5601967
lights,context_environment,0.5600674
residential,context_environment,0.560007
taste,evaluation,0.55986196
love,evaluation,0.55906737
blackblue,appearance_style,0.5587991
shadow,appearance_style,0.55865735
school,context_environment,0.5584953
room,context_environment,0.55836403
inside,context_environment,0.5583124
quite,evaluation,0.5581902
2000,age_era,0.5580982
working,condition_functionality,0.55750823
occupied,context_environment,0.55735004
uncommon,evaluation,0.55720496
wheels,context_environment,0.55706906
last,evaluation,0.5569147
lighting,appearance_style,0.556162
shiny,appearance_style,0.55595154
runs,condition_functionality,0.5559512
teen,age_era,0.5557857
trouble,condition_functionality,0.5557205
mixed,appearance_style,0.5553622
flashy,evaluation,0.55523896
lit,appearance_style,0.5551459
homes,context_environment,0.5547774
seen,evaluation,0.5545647
smoothly,condition_functionality,0.5542333
short,condition_functionality,0.553999
unsafe,condition_functionality,0.5539832
shot,condition_functionality,0.55364573
anywhere,context_environment,0.5535129
lasts,condition_functionality,0.5533144
oddly,evaluation,0.55316293
lake,context_environment,0.55312836
around,context_environment,0.55276364
feeling,evaluation,0.55241156
simple,condition_functionality,0.5523234
originally,age_era,0.5517577
interesting,evaluation,0.55170965
piece,condition_functionality,0.5515479
poorly,evaluation,0.55126894
traffic,context_environment,0.55107194
close,condition_functionality,0.5504947
noticeably,condition_functionality,0.55044806
slightly,evaluation,0.5501949
new,age_era,0.5501802
suitable,condition_functionality,0.55002433
longer,condition_functionality,0.54975796
suburb,context_environment,0.54951954
solid,condition_functionality,0.5489187
quality,condition_functionality,0.54890466
battered,condition_functionality,0.54855454
best,evaluation,0.54848206
impression,evaluation,0.5483012
aesthetic,evaluation,0.5482564
3,evaluation,0.548124
13,age_era,0.54805756
bold,evaluation,0.54777277
gross,evaluation,0.54769707
top,appearance_style,0.5475534
given,appearance_style,0.54728997
timing,condition_functionality,0.54721856
struggling,condition_functionality,0.5469309
anymore,age_era,0.5469246
performance,condition_functionality,0.54672045
visible,appearance_style,0.5466735
fairly,evaluation,0.54624546
able,condition_functionality,0.5461745
clear,appearance_style,0.5456711
gives,evaluation,0.545429
funny,evaluation,0.54530984
bumpy,evaluation,0.5452973
bluegray,appearance_style,0.5452013
dead,condition_functionality,0.5451786
baby,condition_functionality,0.5451305
where,context_environment,0.54503137
low,condition_functionality,0.5448686
located,context_environment,0.54461575
looking,evaluation,0.54454386
playground,context_environment,0.5442915
gold,appearance_style,0.54426134
want,evaluation,0.5442137
timeless,age_era,0.54403925
sized,appearance_style,0.5439262
faded,appearance_style,0.5437621
brighter,appearance_style,0.54372394
high,condition_functionality,0.54359186
breaking,condition_functionality,0.5433675
look,evaluation,0.5433275
orangered,appearance_style,0.5431969
sport,condition_functionality,0.542574
automobile,context_environment,0.54257065
mph,condition_functionality,0.542358
happy,evaluation,0.5421074
elegant,evaluation,0.54197615
sufficient,condition_functionality,0.5417832
heavily,condition_functionality,0.54170334
nice-looking,evaluation,0.54157287
photo,appearance_style,0.5412046
sand,context_environment,0.54108196
damaged,condition_functionality,0.54087496
exotic,evaluation,0.5408728
work,condition_functionality,0.5401641
two,evaluation,0.53950995
exciting,evaluation,0.5394353
foliage,context_environment,0.5393384
metal,appearance_style,0.538847
answer,condition_functionality,0.5384939
time,condition_functionality,0.5382368
space,context_environment,0.5379679
sun,appearance_style,0.5379251
treees,context_environment,0.537773
finer,condition_functionality,0.5376134
driving,context_environment,0.5374466
bluish,appearance_style,0.5373833
use,age_era,0.53731203
silverish,appearance_style,0.5371835
annoying,evaluation,0.53664815
thin,condition_functionality,0.53661776
normal-looking,evaluation,0.5365702
you,evaluation,0.5364331
plants,context_environment,0.53643084
photos,context_environment,0.5363278
miles,condition_functionality,0.5361755
picture,evaluation,0.53597856
scene,context_environment,0.53593576
image,appearance_style,0.5359346
large,appearance_style,0.5358899
acceptable,evaluation,0.5357296
bridge,context_environment,0.53568053
teenager,age_era,0.5347023
other,evaluation,0.53450596
bottom,appearance_style,0.53443956
bigger,condition_functionality,0.53403735
rich,condition_functionality,0.5340072
fire,appearance_style,0.53384256
logo,appearance_style,0.5337835
size,appearance_style,0.53375244
stable,condition_functionality,0.5336093
a,condition_functionality,0.5334306
an,condition_functionality,0.53329825
green-ish,appearance_style,0.53327763
pull,condition_functionality,0.53297114
burnt,appearance_style,0.5326985
parkforest,context_environment,0.53250974
retro,age_era,0.53241956
pain,condition_functionality,0.5324092
getting,condition_functionality,0.5323558
unattractive,evaluation,0.53228444
shit,evaluation,0.53219885
fit,condition_functionality,0.5321828
get,condition_functionality,0.5320957
upwards,condition_functionality,0.5319467
uncomfortable,evaluation,0.53188396
cement,context_environment,0.53185236
upgraded,age_era,0.53180206
dirty,appearance_style,0.53173935
attempt,condition_functionality,0.5314688
ancient,age_era,0.5311221
pickup,condition_functionality,0.5308954
shorter,condition_functionality,0.53049767
b,condition_functionality,0.5303104
wild,evaluation,0.53029394
reliable,condition_functionality,0.5302851
crappy,evaluation,0.5302024
maroon,appearance_style,0.5301727
previous,age_era,0.5300479
feels,condition_functionality,0.5297143
feel,evaluation,0.52969664
drive,condition_functionality,0.529689
crisis,condition_functionality,0.5296664
fancy-looking,evaluation,0.52915037
front,context_environment,0.5291296
bulky,condition_functionality,0.529075
tiny,condition_functionality,0.5286114
felt,condition_functionality,0.5285963
spacious,context_environment,0.52852595
usage,condition_functionality,0.52834
another,evaluation,0.528263
exterior,context_environment,0.52818894
business,context_environment,0.5280688
cool,evaluation,0.5273652
dad,condition_functionality,0.527325
away,context_environment,0.5271206
near,context_environment,0.5268141
10,appearance_style,0.5265013
better,evaluation,0.5264448
larger,condition_functionality,0.52637863
crushed,condition_functionality,0.526262
ocean,context_environment,0.526115
bushes,context_environment,0.5260214
smaller,condition_functionality,0.5257386
take,condition_functionality,0.5257127
taking,condition_functionality,0.5256895
smooth,condition_functionality,0.52521324
great-looking,evaluation,0.52511704
station,context_environment,0.52511597
leg,condition_functionality,0.5250789
desert,context_environment,0.5250051
heights,context_environment,0.52491546
regular,condition_functionality,0.52481097
movie,age_era,0.524727
three,evaluation,0.5244294
living,condition_functionality,0.5243433
money,condition_functionality,0.5242772
hills,context_environment,0.5242663
unsure,evaluation,0.52404547
kept,condition_functionality,0.524037
difference,condition_functionality,0.52401674
terribly,evaluation,0.52399683
awesome,evaluation,0.5239391
nicer,evaluation,0.52382815
considered,condition_functionality,0.5237931
seeing,evaluation,0.5236814
takes,condition_functionality,0.52330065
broken,condition_functionality,0.5231581
useful,condition_functionality,0.52307963
part,condition_functionality,0.52304196
perfectly,evaluation,0.5229343
unknown,evaluation,0.522806
constructed,context_environment,0.5226983
friends,condition_functionality,0.5223516
decent,condition_functionality,0.5223299
elegance,evaluation,0.5221491
vibrant,appearance_style,0.52207214
lighter,appearance_style,0.5218093
how,evaluation,0.52178943
cemented,context_environment,0.52178663
sunny,appearance_style,0.5217516
moving,context_environment,0.52163184
since,age_era,0.5215228
tinted,appearance_style,0.5214237
tricked,evaluation,0.52140343
hate,evaluation,0.5213431
styling,appearance_style,0.5210483
details,evaluation,0.5209342
ramp,context_environment,0.52071947
not,evaluation,0.52044755
together,condition_functionality,0.52029395
mom,condition_functionality,0.52016395
lucky,evaluation,0.5201147
asphalt,context_environment,0.5199467
prize,condition_functionality,0.51992154
door,context_environment,0.5198022
real,evaluation,0.5197444
tires,context_environment,0.5197178
15,age_era,0.51964885
5,appearance_style,0.5193677
just,evaluation,0.51930434
special,evaluation,0.5192651
roomy,evaluation,0.5192549
2,evaluation,0.51915145
sense,evaluation,0.51894736
lot,context_environment,0.5189068
super,condition_functionality,0.5187905
well,evaluation,0.51872444
eye,appearance_style,0.5186627
mountains,context_environment,0.5186336
while,condition_functionality,0.5185421
he,evaluation,0.5184351
sedan,context_environment,0.5183575
forested,context_environment,0.51808274
expensive,condition_functionality,0.5180801
stolen,condition_functionality,0.5180764
fence,context_environment,0.51795346
many,evaluation,0.5175602
doing,condition_functionality,0.5174143
lots,context_environment,0.51731956
fake,evaluation,0.517249
afraid,evaluation,0.51705873
history,age_era,0.5165623
goes,condition_functionality,0.51640266
rare,evaluation,0.516058
worry,evaluation,0.51596725
seats,context_environment,0.5158768
similar,evaluation,0.5157272
crap,evaluation,0.5157105
excited,evaluation,0.51532966
growing,condition_functionality,0.5153275
took,condition_functionality,0.51523954
sketchy,evaluation,0.5152372
sell,condition_functionality,0.51511276
pool,context_environment,0.5149596
can,condition_functionality,0.514901
smoke,appearance_style,0.5148227
greenery,context_environment,0.5146732
brick,context_environment,0.51459324
feature,condition_functionality,0.5145621
owning,condition_functionality,0.5142899
lower,condition_functionality,0.51419085
gets,condition_functionality,0.51406515
curb,context_environment,0.5139352
that,evaluation,0.5139341
confident,condition_functionality,0.5137557
water,context_environment,0.51360726
parts,condition_functionality,0.5136022
paint,appearance_style,0.5135691
community,context_environment,0.5135231
favorite,condition_functionality,0.5133032
shrubs,context_environment,0.51328975
each,appearance_style,0.5132186
this,evaluation,0.51315415
grill,context_environment,0.51312923
rear,condition_functionality,0.5131235
so,evaluation,0.51302034
completely,evaluation,0.51298285
to,condition_functionality,0.51287115
long,condition_functionality,0.51276124
everything,condition_functionality,0.5126395
modified,condition_functionality,0.51256835
patchy,evaluation,0.51244646
ordinary,evaluation,0.5124031
trying,evaluation,0.5122962
uniquely,evaluation,0.5122721
seeming,evaluation,0.512147
reason,evaluation,0.5121065
sky,context_environment,0.5120966
really,evaluation,0.512083
during,condition_functionality,0.5120034
chose,appearance_style,0.5119953
things,context_environment,0.51190305
steel,condition_functionality,0.5117711
busted,evaluation,0.5117127
okay,evaluation,0.5115646
wheel,context_environment,0.5114447
grills,context_environment,0.5112237
stylish,appearance_style,0.51108646
roadtrips,context_environment,0.51075673
almost,evaluation,0.51067793
forever,age_era,0.51060843
attitude,condition_functionality,0.5105228
open,appearance_style,0.5104582
bed,context_environment,0.5104279
down,condition_functionality,0.5103375
cloudy,appearance_style,0.5099931
antique,age_era,0.50989175
having,evaluation,0.50982964
comes,condition_functionality,0.5094424
x,evaluation,0.5092237
aggressive,condition_functionality,0.5090797
combined,condition_functionality,0.50899744
slim,condition_functionality,0.5089692
wife,condition_functionality,0.50891894
graffiti,context_environment,0.50873196
blacktop,appearance_style,0.50870323
attract,evaluation,0.5086899
smell,evaluation,0.50857514
suburban,context_environment,0.50837994
from,age_era,0.5081711
electric,condition_functionality,0.5080765
ad,evaluation,0.5080246
movies,context_environment,0.5077728
farther,condition_functionality,0.50755423
positive,condition_functionality,0.5075426
coat,appearance_style,0.5073472
races,appearance_style,0.5072936
one,appearance_style,0.50725055
wants,evaluation,0.50701374
interior,context_environment,0.5070021
resembles,evaluation,0.50695956
i,evaluation,0.50679076
give,evaluation,0.50657034
suv,context_environment,0.5063772
dried,condition_functionality,0.5063339
ghettos,context_environment,0.5061448
project,context_environment,0.5060372
broad,condition_functionality,0.50599086
efficiency,condition_functionality,0.5059588
rest,condition_functionality,0.5058942
washed,condition_functionality,0.5057519
even,evaluation,0.50568974
your,evaluation,0.5056811
side,evaluation,0.50552285
aesthetically,evaluation,0.50547135
used,age_era,0.5052854
sporty,condition_functionality,0.5051267
line,condition_functionality,0.50505006
actually,evaluation,0.5049957
before,age_era,0.5047991
are,condition_functionality,0.5047136
outdoorsy-type,context_environment,0.50465405
finding,context_environment,0.5046463
when,age_era,0.5045316
fancier,evaluation,0.50432086
pale,appearance_style,0.5042944
slight,evaluation,0.50407445
mall,context_environment,0.50379485
between,condition_functionality,0.5037116
behind,context_environment,0.50347406
run,condition_functionality,0.5032805
rack,context_environment,0.5031923
drove,condition_functionality,0.50292933
images,context_environment,0.50275403
right,evaluation,0.502506
classy,evaluation,0.50247574
bit,condition_functionality,0.5024064
tell,evaluation,0.5023894
popular,evaluation,0.5022975
with,condition_functionality,0.5022935
s,evaluation,0.50211954
way,evaluation,0.5021176
care,condition_functionality,0.5020551
midlife,age_era,0.50183856
computer,condition_functionality,0.5018101
alike,evaluation,0.5015795
nothing,evaluation,0.5015349
boring,evaluation,0.5015329
buggy,evaluation,0.5010172
vain,evaluation,0.5009514
against,condition_functionality,0.50086594
above,evaluation,0.50075084
now,age_era,0.50051713
east,context_environment,0.5005022
appears,evaluation,0.50038874
bumper,context_environment,0.5003238
definite,condition_functionality,0.50018
infrastructure,context_environment,0.49996555
comfortable,evaluation,0.49993253
replaced,condition_functionality,0.49988335
after,condition_functionality,0.4998832
consider,condition_functionality,0.49966967
somewhere,context_environment,0.49964032
transportation,context_environment,0.49953282
using,age_era,0.49949548
auto,condition_functionality,0.4993794
square,context_environment,0.49931985
e,evaluation,0.49927056
condition,condition_functionality,0.49926376
cheaper,condition_functionality,0.49911338
sleek,condition_functionality,0.49903184
